 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 1.00000000e+00  1.75424049e-06  9.96126835e-07  3.72924169e-01  1.14493374e+00  2.04979091e-07  2.75038235e-06  3.20454097e-10  2.39140571e-01  2.37840431e-01  1.76017516e-06  9.66001252e-07 
 0.00000000e+00  1.78251631e-06  9.67850193e-07  3.72944317e-01  1.14493511e+00  1.14493511e+00  2.75038154e-06  2.35097275e-10  2.39144871e-01  2.37833493e-01  1.78827367e-06  9.38613809e-07 
 1.00000000e+00  1.79584925e-06  9.54516392e-07  3.72966848e-01  1.14493375e+00  2.04979122e-07  2.75038067e-06  3.20117266e-10  2.39146878e-01  2.37830165e-01  1.80152146e-06  9.25697467e-07 
 0.00000000e+00  1.82122656e-06  9.29138149e-07  3.72988354e-01  1.14493428e+00  1.14493427e+00  2.75037975e-06  2.86974000e-10  2.39150664e-01  2.37823738e-01  1.82673407e-06  9.01110457e-07 
 1.00000000e+00  1.84048317e-06  9.09880577e-07  3.73011400e-01  1.14493292e+00  2.04974762e-07  2.75037880e-06  3.71997544e-10  2.39153509e-01  2.37818768e-01  1.84586336e-06  8.82450397e-07 
 0.00000000e+00  1.87209295e-06  8.78269897e-07  3.73035205e-01  1.14493487e+00  1.14493486e+00  2.75037789e-06  2.50491183e-10  2.39158120e-01  2.37810439e-01  1.87725975e-06  8.51814951e-07 
 1.00000000e+00  1.88371544e-06  8.66646492e-07  3.73058354e-01  1.14493350e+00  2.04977831e-07  2.75037697e-06  3.35506310e-10  2.39159802e-01  2.37807319e-01  1.88880243e-06  8.40548351e-07 
 0.00000000e+00  1.90769092e-06  8.42670122e-07  3.73080557e-01  1.14493403e+00  1.14493403e+00  2.75037609e-06  3.02353318e-10  2.39163238e-01  2.37800785e-01  1.91261096e-06  8.17305006e-07 
 1.00000000e+00  1.92537165e-06  8.24988455e-07  3.73104255e-01  1.14493267e+00  2.04973478e-07  2.75037515e-06  3.87380794e-10  2.39165748e-01  2.37795876e-01  1.93016659e-06  8.00161288e-07 
 0.00000000e+00  1.95559739e-06  7.94761762e-07  3.73125961e-01  1.14493404e+00  1.14493403e+00  2.75037419e-06  3.01992212e-10  2.39169996e-01  2.37787303e-01  1.96017453e-06  7.70848890e-07 
 1.00000000e+00  1.97009766e-06  7.80260601e-07  3.73149893e-01  1.14493268e+00  2.04973507e-07  2.75037331e-06  3.87029621e-10  2.39172015e-01  2.37783107e-01  1.97456858e-06  7.56783953e-07 
 0.00000000e+00  1.99733109e-06  7.53026242e-07  3.73172981e-01  1.14493321e+00  1.14493320e+00  2.75037237e-06  3.53885145e-10  2.39175767e-01  2.37775067e-01  2.00159949e-06  7.30364503e-07 
 1.00000000e+00  2.01812065e-06  7.32235612e-07  3.73197543e-01  1.14493184e+00  2.04969151e-07  2.75037132e-06  4.38898695e-10  2.39178602e-01  2.37768789e-01  2.02223181e-06  7.10192134e-07 
 0.00000000e+00  2.05163945e-06  6.98715317e-07  3.73236047e-01  1.14493589e+00  1.14493588e+00  2.75036980e-06  1.86815896e-10  2.39183125e-01  2.37758390e-01  2.05549217e-06  6.77661465e-07 
 1.00000000e+00  2.06073111e-06  6.89622677e-07  3.73260469e-01  1.14493452e+00  2.04983171e-07  2.75036881e-06  2.71842934e-10  2.39184336e-01  2.37755509e-01  2.06451276e-06  6.68835733e-07 
 0.00000000e+00  2.08285972e-06  6.67493081e-07  3.73284156e-01  1.14493506e+00  1.14493505e+00  2.75036784e-06  2.38687580e-10  2.39187276e-01  2.37748388e-01  2.08646640e-06  6.47352818e-07 
 1.00000000e+00  2.09832868e-06  6.52023112e-07  3.73309233e-01  1.14493369e+00  2.04978815e-07  2.75036682e-06  3.23716165e-10  2.39189311e-01  2.37743310e-01  2.10181157e-06  6.32332524e-07 
 0.00000000e+00  2.12701688e-06  6.23334007e-07  3.73332593e-01  1.14493506e+00  1.14493505e+00  2.75036590e-06  2.38358666e-10  2.39193060e-01  2.37733673e-01  2.13026669e-06  6.04471960e-07 
 1.00000000e+00  2.13908549e-06  6.11264350e-07  3.73357865e-01  1.14493370e+00  2.04978844e-07  2.75036488e-06  3.23380565e-10  2.39194622e-01  2.37729528e-01  2.14223598e-06  5.92748739e-07 
 0.00000000e+00  2.16452895e-06  5.85819892e-07  3.73382578e-01  1.14493423e+00  1.14493422e+00  2.75036388e-06  2.90215116e-10  2.39197892e-01  2.37720604e-01  2.16746749e-06  5.68030437e-07 
 1.00000000e+00  2.18317329e-06  5.67174558e-07  3.73408656e-01  1.14493287e+00  2.04974496e-07  2.75036289e-06  3.75242977e-10  2.39200266e-01  2.37713902e-01  2.18595438e-06  5.49913512e-07 
 0.00000000e+00  2.21551898e-06  5.34827688e-07  3.73435991e-01  1.14493481e+00  1.14493481e+00  2.75036171e-06  2.53724153e-10  2.39204342e-01  2.37701921e-01  2.21802254e-06  5.18475733e-07 
 1.00000000e+00  2.22564405e-06  5.24701667e-07  3.73461973e-01  1.14493345e+00  2.04977561e-07  2.75036076e-06  3.38757266e-10  2.39205605e-01  2.37698074e-01  2.22805960e-06  5.08632283e-07 
 0.00000000e+00  2.24950059e-06  5.00844003e-07  3.73487553e-01  1.14493398e+00  1.14493397e+00  2.75035963e-06  3.05597325e-10  2.39208569e-01  2.37688821e-01  2.25170663e-06  4.85436452e-07 
 1.00000000e+00  2.26635578e-06  4.83987770e-07  3.73514426e-01  1.14493262e+00  2.04973202e-07  2.75035859e-06  3.90635080e-10  2.39210647e-01  2.37682117e-01  2.26841200e-06  4.69044444e-07 
 0.00000000e+00  2.29717817e-06  4.53164331e-07  3.73539926e-01  1.14493399e+00  1.14493398e+00  2.75035752e-06  3.05261671e-10  2.39214411e-01  2.37669472e-01  2.29895650e-06  4.39062429e-07 
 1.00000000e+00  2.31046717e-06  4.39874180e-07  3.73566992e-01  1.14493262e+00  2.04973227e-07  2.75035642e-06  3.90296965e-10  2.39216019e-01  2.37663859e-01  2.31212418e-06  4.26132047e-07 
 0.00000000e+00  2.33793618e-06  4.12404152e-07  3.73593923e-01  1.14493315e+00  1.14493315e+00  2.75035539e-06  3.57145463e-10  2.39219320e-01  2.37651930e-01  2.33933944e-06  3.99399701e-07 
 1.00000000e+00  2.35822386e-06  3.92115319e-07  3.73622083e-01  1.14493179e+00  2.04968877e-07  2.75035424e-06  4.42151562e-10  2.39221734e-01  2.37642822e-01  2.35943723e-06  3.79650347e-07 
 0.00000000e+00  2.39248951e-06  3.57849232e-07  3.73634883e-01  1.14493510e+00  1.14493509e+00  2.75035378e-06  2.36189329e-10  2.39225775e-01  2.37626814e-01  2.39337714e-06  3.46284830e-07 
 1.00000000e+00  2.40099563e-06  3.49341993e-07  3.73662520e-01  1.14493373e+00  2.04979027e-07  2.75035265e-06  3.21243476e-10  2.39226766e-01  2.37622708e-01  2.40180145e-06  3.37999021e-07 
 0.00000000e+00  2.42409715e-06  3.26239266e-07  3.73690250e-01  1.14493426e+00  1.14493425e+00  2.75035147e-06  2.88078894e-10  2.39229454e-01  2.37611285e-01  2.42467885e-06  3.15493311e-07 
 1.00000000e+00  2.43974249e-06  3.10592780e-07  3.73719070e-01  1.14493290e+00  2.04974671e-07  2.75035032e-06  3.73088227e-10  2.39231257e-01  2.37603307e-01  2.44017087e-06  3.00247470e-07 
