 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 9.90000000e-02  2.56715248e-06  2.65707209e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373816e-06 -4.92146005e-12  2.37871670e-01  2.37173433e-01  2.39309949e-06  8.66388450e-09 
 1.00000000e-01  2.56715246e-06  2.65707021e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93004352e-12  2.37871669e-01  2.37173435e-01  2.39606639e-06  8.92139873e-09 
 1.01000000e-01  2.56715240e-06  2.65707324e-08  3.61713348e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.93773716e-12  2.37871669e-01  2.37173432e-01  2.39894350e-06  9.17306719e-09 
 1.02000000e-01  2.56715243e-06  2.65707048e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.94028748e-12  2.37871671e-01  2.37173435e-01  2.40173476e-06  9.41886058e-09 
 1.03000000e-01  2.56715242e-06  2.65707493e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93947100e-12  2.37871673e-01  2.37173433e-01  2.40444359e-06  9.65929381e-09 
 1.04000000e-01  2.56715251e-06  2.65707135e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373818e-06 -4.92687453e-12  2.37871671e-01  2.37173435e-01  2.40707348e-06  9.89430604e-09 
 1.05000000e-01  2.56715240e-06  2.65707330e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.93393289e-12  2.37871670e-01  2.37173433e-01  2.40962739e-06  1.01243967e-08 
 1.06000000e-01  2.56715244e-06  2.65707316e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93301249e-12  2.37871673e-01  2.37173435e-01  2.41210876e-06  1.03496041e-08 
 1.07000000e-01  2.56715247e-06  2.65707216e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93097852e-12  2.37871671e-01  2.37173434e-01  2.41452029e-06  1.05701288e-08 
 1.08000000e-01  2.56715244e-06  2.65707260e-08  3.61713350e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.94006406e-12  2.37871669e-01  2.37173432e-01  2.41686473e-06  1.07862268e-08 
 1.09000000e-01  2.56715250e-06  2.65707413e-08  3.61713362e-01  1.14302924e+00  2.09654219e-09  2.59373818e-06 -4.93134158e-12  2.37871673e-01  2.37173435e-01  2.41914485e-06  1.09980514e-08 
 1.10000000e-01  2.56715246e-06  2.65707455e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93289056e-12  2.37871671e-01  2.37173432e-01  2.42136297e-06  1.12057088e-08 
 1.11000000e-01  2.56715242e-06  2.65707579e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93225210e-12  2.37871673e-01  2.37173433e-01  2.42352163e-06  1.14094143e-08 
 1.12000000e-01  2.56715242e-06  2.65707497e-08  3.61713359e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92822225e-12  2.37871673e-01  2.37173434e-01  2.42562310e-06  1.16092715e-08 
 1.13000000e-01  2.56715241e-06  2.65707457e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93016871e-12  2.37871671e-01  2.37173432e-01  2.42766956e-06  1.18055057e-08 
 1.14000000e-01  2.56715246e-06  2.65707479e-08  3.61713362e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93321439e-12  2.37871674e-01  2.37173435e-01  2.42966306e-06  1.19981416e-08 
 1.15000000e-01  2.56715239e-06  2.65707121e-08  3.61713349e-01  1.14302924e+00  2.09654219e-09  2.59373806e-06 -4.93842137e-12  2.37871670e-01  2.37173433e-01  2.43160548e-06  1.21873704e-08 
 1.16000000e-01  2.56715245e-06  2.65707473e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.92513852e-12  2.37871671e-01  2.37173433e-01  2.43349889e-06  1.23734374e-08 
