 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.82000000e-01  1.65635945e-11  1.64801637e-11  8.24941791e-02  5.54441821e-01  4.19166581e-10  3.80904197e-11  3.71430491e-12  8.24066094e-02  8.22844574e-02  3.36726202e-11  3.36353168e-11 
 5.83000000e-01  1.70979102e-11  1.70181874e-11  8.35653047e-02  5.55579802e-01  4.19992092e-10  3.92335053e-11  3.72313465e-12  8.34746630e-02  8.33480217e-02  3.40971695e-11  3.39888118e-11 
 5.84000000e-01  1.76597312e-11  1.75783713e-11  8.46835673e-02  5.56697445e-01  4.20818136e-10  4.04156708e-11  3.75462855e-12  8.45895740e-02  8.44581507e-02  3.45465878e-11  3.44826390e-11 
 5.85000000e-01  1.82346842e-11  1.81384465e-11  8.57636631e-02  5.57838229e-01  4.21644818e-10  4.16227053e-11  3.75420528e-12  8.56663701e-02  8.55302551e-02  3.49942297e-11  3.49089646e-11 
 5.86000000e-01  1.88347640e-11  1.87325394e-11  8.68652801e-02  5.58954531e-01  4.22471916e-10  4.28777014e-11  3.77567595e-12  8.67644334e-02  8.66232284e-02  3.54987151e-11  3.53850282e-11 
 5.87000000e-01  1.94552662e-11  1.93286414e-11  8.79647789e-02  5.60083912e-01  4.23299671e-10  4.41584547e-11  3.77045790e-12  8.78603113e-02  8.77140180e-02  3.60387276e-11  3.59268171e-11 
 5.88000000e-01  2.00914141e-11  1.99700623e-11  8.90746507e-02  5.61196165e-01  4.24127907e-10  4.54858373e-11  3.78214300e-12  8.89663340e-02  8.88143890e-02  3.65254493e-11  3.64472896e-11 
 5.89000000e-01  2.07425805e-11  2.06219031e-11  9.01781329e-02  5.62301089e-01  4.24956727e-10  4.68456385e-11  3.81147544e-12  9.00658480e-02  8.99081866e-02  3.70690145e-11  3.69251296e-11 
 5.90000000e-01  2.14172400e-11  2.12798053e-11  9.12744906e-02  5.63421533e-01  4.25786137e-10  4.82467399e-11  3.79051651e-12  9.11581578e-02  9.09947474e-02  3.76161324e-11  3.74829057e-11 
 5.91000000e-01  2.21067053e-11  2.19628146e-11  9.23652731e-02  5.64522683e-01  4.26615981e-10  4.96860331e-11  3.81365772e-12  9.22447263e-02  9.20752431e-02  3.82236465e-11  3.80744325e-11 
 5.92000000e-01  2.28138239e-11  2.26736663e-11  9.34492729e-02  5.65616340e-01  4.27446480e-10  5.11732878e-11  3.83316122e-12  9.33243449e-02  9.31485245e-02  3.88080679e-11  3.86961574e-11 
 5.93000000e-01  2.35527682e-11  2.33997526e-11  9.45491208e-02  5.66723626e-01  4.28277510e-10  5.26996224e-11  3.82059315e-12  9.44196524e-02  9.42373348e-02  3.94493327e-11  3.92557098e-11 
 5.94000000e-01  2.43053884e-11  2.41384118e-11  9.56321232e-02  5.67799904e-01  4.29109146e-10  5.42712542e-11  3.86522585e-12  9.54979186e-02  9.53087638e-02  4.00763867e-11  3.99289490e-11 
 5.95000000e-01  2.50920345e-11  2.49148523e-11  9.67392697e-02  5.68907828e-01  4.29941258e-10  5.58935120e-11  3.83899336e-12  9.66001552e-02  9.64040105e-02  4.07993639e-11  4.05862011e-11 
 5.96000000e-01  2.58965852e-11  2.57017968e-11  9.78212578e-02  5.69983389e-01  4.30773979e-10  5.75548498e-11  3.86382419e-12  9.76770717e-02  9.74736697e-02  4.14566159e-11  4.12860857e-11 
 5.97000000e-01  2.67310237e-11  2.65264923e-11  9.89171259e-02  5.71070073e-01  4.31607176e-10  5.92685900e-11  3.87599675e-12  9.87676538e-02  9.85566260e-02  4.21636059e-11  4.19966284e-11 
 5.98000000e-01  2.75836288e-11  2.73675602e-11  1.00004756e-01  5.72138904e-01  4.32441041e-10  6.10320683e-11  3.91056458e-12  9.98497818e-02  9.96308163e-02  4.29238867e-11  4.27196056e-11 
 5.99000000e-01  2.84687232e-11  2.82296441e-11  1.01107398e-01  5.73232229e-01  4.33275430e-10  6.28470609e-11  3.89260672e-12  1.00946746e-01  1.00719717e-01  4.37516690e-11  4.34745573e-11 
 6.00000000e-01  2.93848652e-11  2.91304573e-11  1.02195017e-01  5.74314773e-01  4.34110336e-10  6.47104592e-11  3.89528167e-12  1.02028513e-01  1.01793072e-01  4.45101733e-11  4.42845760e-11 
 6.01000000e-01  3.03297701e-11  3.00450619e-11  1.03289565e-01  5.75384068e-01  4.34945887e-10  6.66293687e-11  3.90657992e-12  1.03116921e-01  1.02872694e-01  4.53805882e-11  4.51070292e-11 
 6.02000000e-01  3.12897013e-11  3.10041577e-11  1.04370051e-01  5.76450608e-01  4.35781926e-10  6.86113388e-11  3.92236937e-12  1.04191083e-01  1.03937707e-01  4.62296867e-11  4.59614569e-11 
 6.03000000e-01  3.22951649e-11  3.19740272e-11  1.05463277e-01  5.77516701e-01  4.36618524e-10  7.06470438e-11  3.93810158e-12  1.05277704e-01  1.05014950e-01  4.71587214e-11  4.68265426e-11 
 6.04000000e-01  3.33136692e-11  3.29861151e-11  1.06546902e-01  5.78587449e-01  4.37455731e-10  7.27369276e-11  3.93341436e-12  1.06354562e-01  1.06082051e-01  4.80966378e-11  4.77431428e-11 
 6.05000000e-01  3.43702751e-11  3.40038027e-11  1.07614955e-01  5.79641752e-01  4.38293480e-10  7.48912043e-11  3.95867887e-12  1.07415616e-01  1.07133189e-01  4.89848162e-11  4.86721774e-11 
 6.06000000e-01  3.54460019e-11  3.50694694e-11  1.08683073e-01  5.80707995e-01  4.39131777e-10  7.70996600e-11  3.96214832e-12  1.08476560e-01  1.08183716e-01  4.99689179e-11  4.96136465e-11 
 6.07000000e-01  3.65831968e-11  3.61663856e-11  1.09773737e-01  5.81762897e-01  4.39970694e-10  7.93796140e-11  3.97423587e-12  1.09559583e-01  1.09255870e-01  5.10524956e-11  5.06386044e-11 
 6.08000000e-01  3.77312369e-11  3.72941397e-11  1.10840936e-01  5.82818071e-01  4.40810211e-10  8.17217405e-11  3.98634771e-12  1.10619024e-01  1.10304231e-01  5.20863352e-11  5.16511278e-11 
 6.09000000e-01  3.89214295e-11  3.84464626e-11  1.11908231e-01  5.83872686e-01  4.41650236e-10  8.41309244e-11  3.98438053e-12  1.11678284e-01  1.11352025e-01  5.31770183e-11  5.27151656e-11 
